tariff,rule,alpha,flex_share,mean_emission_reduction_kgCO2,total_emission_reduction_kgCO2,mean_cost_change_EUR,total_cost_change_EUR,mean_shift_potential_kWh,mean_shift_out_kWh,mean_shift_in_kWh,mean_unallocated_shift_kWh,mean_max_L0_kWh,mean_max_L_shifted_kWh
tou,A,,0.2,0.004019642723867838,0.6913785485052683,-0.0050105732379166976,-0.861818596921672,0.3078581395348838,0.30758691862163806,0.30758691862163806,0.0002712209132456675,1.0867093023255814,1.0876308139642772
tou,B,,0.1,0.01114448086639841,1.9168507090205265,-0.0006584684244028389,-0.11325656899728828,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
tou,B,,0.15,0.01670490443898468,2.8732435635053655,-0.0009463797740343025,-0.16277732113390003,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
tou,B,,0.2,0.02226114306397063,3.828916607002949,-0.001234310110467058,-0.212301339000334,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
tou,C,0.0,0.1,0.0019818464155652747,0.34087758347722724,-0.0025086896279924715,-0.4314946160147051,0.1539290697674419,0.15392906976744186,0.1539290697674419,-4.034240641806528e-20,1.0867093023255814,1.0824776162790697
tou,C,0.0,0.15,0.0029984479649364025,0.5157330499690612,-0.0037629373369068415,-0.6472252219479767,0.23089360465116276,0.23088851744467823,0.23088851744467823,5.087206484534205e-06,1.0867093023255814,1.0836922965164173
tou,C,0.0,0.2,0.004019642723867838,0.6913785485052683,-0.0050105732379166976,-0.861818596921672,0.3078581395348838,0.30758691862163806,0.30758691862163806,0.0002712209132456675,1.0867093023255814,1.0876308139642772
tou,C,0.25,0.1,0.008855676965142402,1.523176438004493,-0.0024505557278639224,-0.42149558519259467,0.162046511627907,0.16204651162790698,0.16204651162790698,1.6943810695587417e-18,1.0867093023255814,1.0783302325581396
tou,C,0.25,0.15,0.013258606959364415,2.2804803970106793,-0.003675833591795885,-0.6322433777888923,0.24306976744186046,0.24306976744186046,0.24306976744186046,-3.731672593671038e-18,1.0867093023255814,1.0774598837323153
tou,C,0.25,0.2,0.017643203575755797,3.034631015029997,-0.004901111455727849,-0.8429911703851901,0.324093023255814,0.32409302325581396,0.32409302325581396,3.3887621391174835e-18,1.0867093023255814,1.0801703488546386
tou,C,0.5,0.1,0.009393425604677291,1.615669204004494,-0.002170658463632516,-0.3733532557447927,0.15449709302325584,0.15449709302325584,0.15449709302325584,2.0574627273213295e-18,1.0867093023255814,1.0806936046511628
tou,C,0.5,0.15,0.014061831180311823,2.4186349630136337,-0.003255987695448767,-0.5600298836171879,0.23174563953488372,0.23174563953488372,0.23174563953488372,-2.1784899465755252e-18,1.0867093023255814,1.0794941860632965
tou,C,0.5,0.2,0.01871654716877904,3.2192461130299947,-0.004341316927265031,-0.7467065114895853,0.3089941860465117,0.3089941860465117,0.3089941860465117,4.114925454642659e-18,1.0867093023255814,1.0825029069999292
tou,C,0.75,0.1,0.01065667875013798,1.8329487450237325,-0.0018768470324508914,-0.3228176895815533,0.15321569767441862,0.15321569767441862,0.15321569767441862,1.2506145989600236e-18,1.0867093023255814,1.0835081395348838
tou,C,0.75,0.15,0.01597087275582302,2.7469901140015596,-0.0028161740379605,-0.48438193452920597,0.2298235465116279,0.2298235465116279,0.2298235465116279,-3.025680481354896e-18,1.0867093023255814,1.0822351744358583
tou,C,0.75,0.2,0.021286453163234284,3.6612699440762966,-0.0037490579655083105,-0.6448379700674294,0.30643139534883723,0.30643139534883723,0.30643139534883723,2.5012291979200473e-18,1.0867093023255814,1.085726744209657
tou,C,1.0,0.1,0.01114448086639841,1.9168507090205265,-0.0006584684244028389,-0.11325656899728828,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
tou,C,1.0,0.15,0.01670490443898468,2.8732435635053655,-0.0009463797740343025,-0.16277732113390003,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
tou,C,1.0,0.2,0.02226114306397063,3.828916607002949,-0.001234310110467058,-0.212301339000334,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
